From Class,To Class,References,From Entities,To Entities
extras.Chocolate,starbuzzcore.Beverage,1,1,1
extras.Chocolate,starbuzzcore.Ingredient,3,3,3
extras.CoffeeBeverage,starbuzzcore.Beverage,1,1,1
extras.Decaf,extras.CoffeeBeverage,1,1,1
extras.Decaf,starbuzzcore.Beverage,1,1,1
extras.Espresso,extras.CoffeeBeverage,1,1,1
extras.Espresso,starbuzzcore.Beverage,1,1,1
extras.Ginger,starbuzzcore.Beverage,1,1,1
extras.Ginger,starbuzzcore.Ingredient,3,3,3
extras.GreenTea,extras.TeaBeverage,1,1,1
extras.GreenTea,starbuzzcore.Beverage,1,1,1
extras.HouseBlend,extras.CoffeeBeverage,1,1,1
extras.HouseBlend,starbuzzcore.Beverage,1,1,1
extras.Jasmine,starbuzzcore.Beverage,1,1,1
extras.Jasmine,starbuzzcore.Ingredient,3,3,3
extras.Milk,starbuzzcore.Beverage,1,1,1
extras.Milk,starbuzzcore.Ingredient,3,3,3
extras.RedTea,extras.TeaBeverage,1,1,1
extras.RedTea,starbuzzcore.Beverage,1,1,1
extras.TeaBeverage,starbuzzcore.Beverage,1,1,1
extras.WhipCream,starbuzzcore.Beverage,1,1,1
extras.WhipCream,starbuzzcore.Ingredient,3,3,3
extras.WhiteTea,extras.TeaBeverage,1,1,1
extras.WhiteTea,starbuzzcore.Beverage,1,1,1
recipes.CoffeeDrink,interfaces.Recipe,1,1,1
recipes.MilkFreeCoffeeDrink,interfaces.Recipe,1,1,1
recipes.MilkFreeTeaDrink,interfaces.Recipe,1,1,1
recipes.TeaDrink,interfaces.Recipe,1,1,1
sizes.CoffeeBased,interfaces.SizeFactor,1,1,1
sizes.CoffeeLg,sizes.CoffeeBased,1,1,1
sizes.CoffeeMed,sizes.CoffeeBased,1,1,1
sizes.CoffeeSm,sizes.CoffeeBased,1,1,1
sizes.TeaBased,interfaces.SizeFactor,1,1,1
sizes.TeaLg,sizes.TeaBased,1,1,1
sizes.TeaMed,sizes.TeaBased,1,1,1
sizes.TeaSm,sizes.TeaBased,1,1,1
starbuzzcore.Beverage,interfaces.Recipe,3,3,2
starbuzzcore.Beverage,interfaces.SizeFactor,3,3,2
starbuzzcore.Ingredient,starbuzzcore.Beverage,4,4,2
starbuzzcore.Parser,extras.Chocolate,6,1,2
starbuzzcore.Parser,extras.Decaf,4,1,1
starbuzzcore.Parser,extras.Espresso,4,1,1
starbuzzcore.Parser,extras.Ginger,4,1,2
starbuzzcore.Parser,extras.GreenTea,3,1,1
starbuzzcore.Parser,extras.HouseBlend,1,1,1
starbuzzcore.Parser,extras.Jasmine,4,1,2
starbuzzcore.Parser,extras.Milk,8,1,2
starbuzzcore.Parser,extras.RedTea,2,1,1
starbuzzcore.Parser,extras.WhipCream,6,1,2
starbuzzcore.Parser,extras.WhiteTea,1,1,1
starbuzzcore.Parser,recipes.CoffeeDrink,1,1,1
starbuzzcore.Parser,recipes.MilkFreeCoffeeDrink,1,1,1
starbuzzcore.Parser,recipes.MilkFreeTeaDrink,1,1,1
starbuzzcore.Parser,recipes.TeaDrink,1,1,1
starbuzzcore.Parser,sizes.CoffeeLg,1,1,1
starbuzzcore.Parser,sizes.CoffeeMed,1,1,1
starbuzzcore.Parser,sizes.CoffeeSm,1,1,1
starbuzzcore.Parser,sizes.TeaLg,1,1,1
starbuzzcore.Parser,sizes.TeaMed,1,1,1
starbuzzcore.Parser,sizes.TeaSm,1,1,1
starbuzzcore.Parser,starbuzzcore.Beverage,13,3,3
starbuzzcore.Starbuzz,starbuzzcore.Beverage,3,2,3
starbuzzcore.Starbuzz,starbuzzcore.Parser,3,2,2
