From File,To File,References,From Entities,To Entities
extras\Chocolate.java,starbuzzcore\Beverage.java,2,2,1
extras\Chocolate.java,starbuzzcore\Ingredient.java,4,4,3
extras\CoffeeBeverage.java,starbuzzcore\Beverage.java,2,2,1
extras\Decaf.java,extras\CoffeeBeverage.java,1,1,1
extras\Decaf.java,starbuzzcore\Beverage.java,1,1,1
extras\Espresso.java,extras\CoffeeBeverage.java,1,1,1
extras\Espresso.java,starbuzzcore\Beverage.java,1,1,1
extras\Ginger.java,starbuzzcore\Beverage.java,2,2,1
extras\Ginger.java,starbuzzcore\Ingredient.java,4,4,3
extras\GreenTea.java,extras\TeaBeverage.java,1,1,1
extras\GreenTea.java,starbuzzcore\Beverage.java,1,1,1
extras\HouseBlend.java,extras\CoffeeBeverage.java,1,1,1
extras\HouseBlend.java,starbuzzcore\Beverage.java,1,1,1
extras\Jasmine.java,starbuzzcore\Beverage.java,2,2,1
extras\Jasmine.java,starbuzzcore\Ingredient.java,4,4,3
extras\Milk.java,starbuzzcore\Beverage.java,2,2,1
extras\Milk.java,starbuzzcore\Ingredient.java,4,4,3
extras\RedTea.java,extras\TeaBeverage.java,1,1,1
extras\RedTea.java,starbuzzcore\Beverage.java,1,1,1
extras\TeaBeverage.java,starbuzzcore\Beverage.java,2,2,1
extras\WhipCream.java,starbuzzcore\Beverage.java,2,2,1
extras\WhipCream.java,starbuzzcore\Ingredient.java,4,4,3
extras\WhiteTea.java,extras\TeaBeverage.java,1,1,1
extras\WhiteTea.java,starbuzzcore\Beverage.java,1,1,1
recipes\CoffeeDrink.java,interfaces\Recipe.java,2,2,1
recipes\MilkFreeCoffeeDrink.java,interfaces\Recipe.java,2,2,1
recipes\MilkFreeTeaDrink.java,interfaces\Recipe.java,2,2,1
recipes\TeaDrink.java,interfaces\Recipe.java,2,2,1
sizes\CoffeeBased.java,interfaces\SizeFactor.java,2,2,1
sizes\CoffeeLg.java,sizes\CoffeeBased.java,1,1,1
sizes\CoffeeMed.java,sizes\CoffeeBased.java,1,1,1
sizes\CoffeeSm.java,sizes\CoffeeBased.java,1,1,1
sizes\TeaBased.java,interfaces\SizeFactor.java,2,2,1
sizes\TeaLg.java,sizes\TeaBased.java,1,1,1
sizes\TeaMed.java,sizes\TeaBased.java,1,1,1
sizes\TeaSm.java,sizes\TeaBased.java,1,1,1
starbuzzcore\Beverage.java,interfaces\Recipe.java,4,4,2
starbuzzcore\Beverage.java,interfaces\SizeFactor.java,4,4,2
starbuzzcore\Ingredient.java,starbuzzcore\Beverage.java,4,4,2
starbuzzcore\Parser.java,extras\Chocolate.java,6,1,2
starbuzzcore\Parser.java,extras\Decaf.java,4,1,1
starbuzzcore\Parser.java,extras\Espresso.java,4,1,1
starbuzzcore\Parser.java,extras\Ginger.java,4,1,2
starbuzzcore\Parser.java,extras\GreenTea.java,3,1,1
starbuzzcore\Parser.java,extras\HouseBlend.java,1,1,1
starbuzzcore\Parser.java,extras\Jasmine.java,4,1,2
starbuzzcore\Parser.java,extras\Milk.java,8,1,2
starbuzzcore\Parser.java,extras\RedTea.java,2,1,1
starbuzzcore\Parser.java,extras\WhipCream.java,6,1,2
starbuzzcore\Parser.java,extras\WhiteTea.java,1,1,1
starbuzzcore\Parser.java,recipes\CoffeeDrink.java,1,1,1
starbuzzcore\Parser.java,recipes\MilkFreeCoffeeDrink.java,1,1,1
starbuzzcore\Parser.java,recipes\MilkFreeTeaDrink.java,1,1,1
starbuzzcore\Parser.java,recipes\TeaDrink.java,1,1,1
starbuzzcore\Parser.java,sizes\CoffeeLg.java,1,1,1
starbuzzcore\Parser.java,sizes\CoffeeMed.java,1,1,1
starbuzzcore\Parser.java,sizes\CoffeeSm.java,1,1,1
starbuzzcore\Parser.java,sizes\TeaLg.java,1,1,1
starbuzzcore\Parser.java,sizes\TeaMed.java,1,1,1
starbuzzcore\Parser.java,sizes\TeaSm.java,1,1,1
starbuzzcore\Parser.java,starbuzzcore\Beverage.java,13,3,3
starbuzzcore\Starbuzz.java,starbuzzcore\Beverage.java,3,2,3
starbuzzcore\Starbuzz.java,starbuzzcore\Parser.java,3,2,2
